keyword,keyword_type,source_name,priority_source,url
Billboard.com Music News,source_name,Billboard.com Music News,TRUE,https://www.billboard.com/music/
brooklynvegan,source_name,brooklynvegan,TRUE,https://www.brooklynvegan.com
Consequence of Sound,source_name,Consequence of Sound,TRUE,https://consequence.net
Mashable (Music),source_name,Mashable (Music),TRUE,https://mashable.com/category/music
Music Ally,source_name,Music Ally,TRUE,https://musically.com/
Music Business Worldwide,source_name,Music Business Worldwide,TRUE,https://www.musicbusinessworldwide.com
NPR Music,source_name,NPR Music,TRUE,https://www.npr.org/music/
Stereogum,source_name,Stereogum,TRUE,https://www.stereogum.com
The FADER,source_name,The FADER,TRUE,https://www.thefader.com/
The Guardian - Music,source_name,The Guardian - Music,TRUE,https://www.theguardian.com/music
The Honest Broker,source_name,The Honest Broker,TRUE,https://tedgioia.substack.com/
The New York Times - Music,source_name,The New York Times - Music,TRUE,https://www.nytimes.com/section/arts/music
The Washington Post - Music,source_name,The Washington Post - Music,TRUE,https://www.washingtonpost.com/entertainment/music/
Variety - Music,source_name,Variety - Music,TRUE,https://variety.com/v/music/
Wall Street Journal - Music,source_name,Wall Street Journal - Music,TRUE,https://www.wsj.com/news/types/music
Your Morning Coffee,source_name,Your Morning Coffee,TRUE,https://yourmorningcoffeepodcast.com
"Emerging Artists, Hip-Hop, Style",content_focus,The FADER,TRUE,https://www.thefader.com/
"Features, interviews, Tiny Desk, genre coverage",content_focus,NPR Music,TRUE,https://www.npr.org/music/
General music and pop culture,content_focus,Consequence of Sound,TRUE,https://consequence.net
Global music industry,content_focus,Music Business Worldwide,TRUE,https://www.musicbusinessworldwide.com
Indie/Alternative music news,content_focus,Stereogum,TRUE,https://www.stereogum.com
"Industry news, charts, features",content_focus,Billboard.com Music News,TRUE,https://www.billboard.com/music/
Local/indie music news,content_focus,brooklynvegan,TRUE,https://www.brooklynvegan.com
Music business news and insights,content_focus,Your Morning Coffee,TRUE,https://yourmorningcoffeepodcast.com
"Music business, technology, features",content_focus,Wall Street Journal - Music,TRUE,https://www.wsj.com/news/types/music
"Music history, industry trends",content_focus,The Honest Broker,TRUE,https://tedgioia.substack.com/
Music Industry News,content_focus,Music Ally,TRUE,https://musically.com/
Music industry news and coverage,content_focus,Variety - Music,TRUE,https://variety.com/v/music/
"Music news, reviews, cultural commentary",content_focus,The Washington Post - Music,TRUE,https://www.washingtonpost.com/entertainment/music/
"Music reviews, news, cultural criticism",content_focus,The New York Times - Music,TRUE,https://www.nytimes.com/section/arts/music
Tech & Entertainment,content_focus,Mashable (Music),TRUE,https://mashable.com/category/music
"Cultural Enthusiasts, Music Fans",audience,NPR Music,TRUE,https://www.npr.org/music/
